,Date,Open,High,Low,Close
0,2011-08-16,759.69,759.93,748.83,748.83
1,2011-08-17,755.34,762.55,754.04,760.83
2,2011-08-18,765.44,768.51,757.87,758.83
3,2011-08-19,746.31,751.14,740.64,742.86
4,2011-08-22,742.08,742.53,729.07,741.98
5,2011-08-23,741.96,742.98,732.56,733.83
6,2011-08-24,731.89,736.78,720.78,725.7
7,2011-08-25,733.97,734.06,711.48,711.48
8,2011-08-26,704.12,722.01,702.83,721.84
9,2011-08-29,726.28,738.16,721.45,736.47
10,2011-08-30,744.33,746.58,727.78,727.78
11,2011-08-31,735.98,747.5,735.29,747.07
12,2011-09-01,756.52,756.52,745.39,746.25
13,2011-09-02,749.08,749.73,737.29,742.3
14,2011-09-05,734.79,737.87,727.44,729.69
15,2011-09-06,724.53,734.49,722.61,734.49
16,2011-09-07,736.88,744.25,735.6,744.18
17,2011-09-08,740.7,747.06,738.38,747.06
18,2011-09-09,747.53,748.28,738.83,739.73
19,2011-09-12,728.89,730.86,720.25,723.3
20,2011-09-13,726.64,728.53,713.7,716.87
21,2011-09-14,720.18,720.69,701.79,711.34
22,2011-09-15,714.74,721.62,708.28,721.34
23,2011-09-16,726.7,728.32,716.88,718.64
24,2011-09-19,712.53,714.67,706.87,706.87
25,2011-09-20,706.12,714.7,700.93,714.7
26,2011-09-21,711.76,718.85,710.24,717.08
27,2011-09-22,705.21,705.38,689.1,689.1
28,2011-09-23,676.68,677.68,654.93,667.02
29,2011-09-26,659.54,659.54,602.32,629.14
30,2011-09-27,647.48,662.51,631.34,662.51
31,2011-09-28,656.01,664.13,648.85,649.6
32,2011-09-29,639.56,654.71,638.87,644.66
33,2011-09-30,647.5,650.26,635.48,636.3
34,2011-10-03,610.7,612.11,599.1,601.9
35,2011-10-04,604.93,609.72,583.83,592.57
36,2011-10-05,598.35,607.32,593.78,598.86
37,2011-10-06,618.93,639.57,615.7,639.21
38,2011-10-07,654.56,655.84,636.07,636.07
39,2011-10-10,630.23,647.8,626.15,647.8
40,2011-10-11,659.32,670.43,659.03,665.75
41,2011-10-12,664.92,674.13,658.43,671.49
42,2011-10-13,675.79,676.61,658.17,658.17
43,2011-10-14,657.25,673.43,655.33,673.43
44,2011-10-17,679.44,687.01,677.09,686.26
45,2011-10-18,670.12,672.47,660.51,672.47
46,2011-10-19,677.43,677.57,657.47,661.11
47,2011-10-20,651.01,651.01,633.87,638.53
48,2011-10-21,637.96,649.69,636.18,644.8
49,2011-10-25,655.38,669.09,651.9,667.75
50,2011-10-26,663.17,670.8,657.65,664.93
51,2011-10-27,674.29,684.18,674.13,681.44
52,2011-10-28,689.81,702.08,689.81,691.99
53,2011-10-31,694.44,698.67,688.56,691.97
54,2011-11-01,688.71,694.38,675.34,676.74
55,2011-11-02,672.29,686.51,670.11,683.61
56,2011-11-03,672.34,676.69,666.79,676.69
57,2011-11-04,684.46,686.04,675.61,675.61
58,2011-11-07,679.72,681.96,672.36,673.68
59,2011-11-08,679.13,695.76,676.72,695.76
60,2011-11-09,692.88,696.28,682.23,682.23
61,2011-11-10,669.41,682.03,669.41,682.03
62,2011-11-11,682.36,685.44,677.92,683.01
63,2011-11-14,692.92,699.67,692.12,693.3
64,2011-11-15,695.62,700.82,691.47,693.03
65,2011-11-16,691.49,700.81,690.08,700.81
66,2011-11-17,698.02,701.77,696.18,697.03
67,2011-11-18,692.18,693.92,688.12,688.8
68,2011-11-21,683.15,688.26,674.87,674.87
69,2011-11-22,678.87,685.89,674.99,684.07
70,2011-11-23,680.46,684.33,678.8,683.31
71,2011-11-24,685.05,687.81,682.08,686.66
72,2011-11-25,683.52,684.38,674.96,675.6
73,2011-11-28,681.85,689.54,681.85,689.41
74,2011-11-29,688.99,697.15,686.72,691.79
75,2011-11-30,694.61,699.21,692.1,697.33
76,2011-12-01,717.49,720.74,713.01,716.02
77,2011-12-02,717.89,724.39,713.49,724.23
78,2011-12-06,727.66,729,719.64,724.5
79,2011-12-07,729.95,736.72,727.66,736.72
80,2011-12-08,732.27,740.37,730.57,733.72
81,2011-12-09,726.71,727.9,722.28,725.92
82,2011-12-13,724.58,728.03,719.85,723.36
83,2011-12-14,726,728.49,718.21,718.21
84,2011-12-15,709.16,719.06,705.4,719.06
85,2011-12-16,720.49,728.73,719.98,726.49
86,2011-12-19,724.23,730.56,722.2,725.54
87,2011-12-20,727.96,731.46,725.26,725.26
88,2011-12-21,735.19,738.41,733.96,734.22
89,2011-12-22,734.31,736.71,728.5,732.73
90,2011-12-23,734.65,735.2,727.97,727.97
91,2011-12-26,730.72,731.71,723.6,724.57
92,2011-12-27,725.34,725.6,718.12,721.9
93,2011-12-28,720.7,722.23,717.5,721.87
94,2011-12-29,714.49,723.66,714.38,717.28
95,2011-12-30,719.6,720.04,715.76,718.4
96,2012-01-04,727.22,731.54,725.16,726.99
97,2012-01-05,726.45,730.39,723.5,727.12
98,2012-01-06,725,728.96,723.79,725.69
99,2012-01-09,723.76,732.21,723.13,732.21
100,2012-01-10,734.53,740.07,733.9,738.13
101,2012-01-11,737.61,742.21,735.56,736.14
102,2012-01-12,737.54,739.45,734.33,735.88
103,2012-01-13,735.45,736.95,727.55,730.4
104,2012-01-16,725.57,726.47,722.68,724.43
105,2012-01-17,729.48,740.03,728.3,740.03
106,2012-01-18,739.61,741.74,735.29,735.37
107,2012-01-19,740.5,742.82,736.36,740.6
108,2012-01-20,742.19,743.13,737.58,739.56
109,2012-01-23,739.92,744.98,739.21,741.67
110,2012-01-24,744.26,748.81,742.95,742.95
111,2012-01-25,745.71,746.25,735.99,736.69
112,2012-01-26,740.54,746.52,740.1,745.81
113,2012-01-27,748.94,753.48,746.86,752.18
114,2012-01-30,751.83,755.36,749.14,750.95
115,2012-01-31,755,757.45,749.26,757.45
116,2012-02-01,756.55,760.08,753.02,759.16
117,2012-02-02,763.43,769.03,762.25,763.4
118,2012-02-03,765.41,769.42,761.94,768.96
119,2012-02-06,774.3,775.68,765.82,765.82
120,2012-02-07,767.68,772.13,764.11,770.95
121,2012-02-08,776.32,787.15,776.21,783.39
122,2012-02-09,784.24,787.65,779.31,784.72
123,2012-02-10,783.17,787.1,779.57,781.21
124,2012-02-13,782.79,786.57,781.09,784.08
125,2012-02-14,781.86,787.35,773.24,776.12
126,2012-02-15,782.11,793.21,782.11,791.85
127,2012-02-16,790.17,792.38,784.75,787.13
128,2012-02-17,796.21,797.02,789.13,794.86
129,2012-02-20,799.6,801.66,796.53,800.22
130,2012-02-21,802.46,806.04,799.97,803.66
131,2012-02-22,806.61,809.71,801.38,801.59
132,2012-02-23,802.97,805.36,795.03,803.61
133,2012-02-24,806.13,809.32,804.66,808.27
134,2012-02-27,809.13,810.04,797.64,799.19
135,2012-02-28,801.04,807.69,798.49,807.69
136,2012-02-29,810.78,818.78,810.29,818.78
137,2012-03-01,817.39,823.2,815.57,821.96
138,2012-03-02,825.27,827.85,820.56,821.18
139,2012-03-05,818.9,819.58,813.77,814.68
140,2012-03-06,812.25,816.16,808.54,810.79
141,2012-03-08,813.49,823.07,813.21,823.07
142,2012-03-09,824.41,824.94,814.89,814.89
143,2012-03-12,817.53,820.02,804.49,807.65
144,2012-03-13,812.13,813.09,802.71,809.97
145,2012-03-14,817.35,820.98,813.18,818.14
146,2012-03-15,819.82,826.05,819.41,823.39
147,2012-03-16,827.74,838.44,824.71,838.44
148,2012-03-19,843.59,847.87,837.93,837.93
149,2012-03-20,838.32,846.73,837.67,843.65
150,2012-03-21,843.18,852.14,840.23,852.14
151,2012-03-22,851.41,857,839.22,839.22
152,2012-03-23,840.48,844.12,830.1,841.76
153,2012-03-26,842.99,845.08,835.96,836.77
